"cnty_fips","display_name","Value","theme_range","ou_inc"
48021,"""Bastrop, (TX)""",167.8,"148.7 - 175.5 (644)",1539
48025,"""Bee, (TX)""",192.6,"175.6 - 204.1 (644)",2108
48027,"""Bell, (TX)""",192.1,"175.6 - 204.1 (644)",2976
48029,"""Bexar, (TX)""",174.5,"148.7 - 175.5 (644)",1237
48031,"""Blanco, (TX)""",131,"26.6 - 148.6 (644)",1626
48035,"""Bosque, (TX)""",267.7,"242.9 - 651.5 (644)",2592
48039,"""Brazoria, (TX)""",189.5,"175.6 - 204.1 (644)",2176
48041,"""Brazos, (TX)""",142.2,"26.6 - 148.6 (644)",1841
48043,"""Brewster, (TX)""",120.8,"26.6 - 148.6 (644)",2529
48047,"""Brooks, (TX)""",207.9,"204.2 - 242.8 (644)",1172
48049,"""Brown, (TX)""",187.1,"175.6 - 204.1 (644)",2688
48051,"""Burleson, (TX)""",293.5,"242.9 - 651.5 (644)",2625
48053,"""Burnet, (TX)""",127.7,"26.6 - 148.6 (644)",2024
48055,"""Caldwell, (TX)""",226.3,"204.2 - 242.8 (644)",2191
48057,"""Calhoun, (TX)""",218.1,"204.2 - 242.8 (644)",3110
48061,"""Cameron, (TX)""",211.5,"204.2 - 242.8 (644)",1616
48071,"""Chambers, (TX)""",221.3,"204.2 - 242.8 (644)",3069
48073,"""Cherokee, (TX)""",220.7,"204.2 - 242.8 (644)",2667
48081,"""Coke, (TX)""",139.1,"26.6 - 148.6 (644)",2522
48083,"""Coleman, (TX)""",270.4,"242.9 - 651.5 (644)",3522
48089,"""Colorado, (TX)""",249.4,"242.9 - 651.5 (644)",2849
48091,"""Comal, (TX)""",165.9,"148.7 - 175.5 (644)",1795
48093,"""Comanche, (TX)""",303,"242.9 - 651.5 (644)",3458
48095,"""Concho, (TX)""",166.2,"148.7 - 175.5 (644)",2050
48099,"""Coryell, (TX)""",238.6,"204.2 - 242.8 (644)",3700
48103,"""Crane, (TX)""",217.4,"204.2 - 242.8 (644)",2613
48105,"""Crockett, (TX)""",495.7,"242.9 - 651.5 (644)",1171
48109,"""Culberson, (TX)""",211.2,"204.2 - 242.8 (644)",3382
48123,"""DeWitt, (TX)""",205.3,"204.2 - 242.8 (644)",2175
48127,"""Dimmit, (TX)""",156.3,"148.7 - 175.5 (644)",1689
48131,"""Duval, (TX)""",260.7,"242.9 - 651.5 (644)",1645
48135,"""Ector, (TX)""",305.2,"242.9 - 651.5 (644)",1714
48137,"""Edwards, (TX)""",181.2,"175.6 - 204.1 (644)",1568
48141,"""El Paso, (TX)""",157,"148.7 - 175.5 (644)",1453
48145,"""Falls, (TX)""",226.6,"204.2 - 242.8 (644)",2433
48149,"""Fayette, (TX)""",250.4,"242.9 - 651.5 (644)",2159
48157,"""Fort Bend, (TX)""",124.2,"26.6 - 148.6 (644)",1769
48161,"""Freestone, (TX)""",232.7,"204.2 - 242.8 (644)",2245
48163,"""Frio, (TX)""",250.3,"242.9 - 651.5 (644)",1625
48167,"""Galveston, (TX)""",162.4,"148.7 - 175.5 (644)",2232
48171,"""Gillespie, (TX)""",165.7,"148.7 - 175.5 (644)",1863
48173,"""Glasscock, (TX)""",260.8,"242.9 - 651.5 (644)",8110
48175,"""Goliad, (TX)""",193.1,"175.6 - 204.1 (644)",2109
48177,"""Gonzales, (TX)""",212.9,"204.2 - 242.8 (644)",2214
48185,"""Grimes, (TX)""",225.9,"204.2 - 242.8 (644)",2314
48187,"""Guadalupe, (TX)""",198.9,"175.6 - 204.1 (644)",1849
48193,"""Hamilton, (TX)""",163.6,"148.7 - 175.5 (644)",2251
48199,"""Hardin, (TX)""",217.4,"204.2 - 242.8 (644)",1618
48201,"""Harris, (TX)""",171,"148.7 - 175.5 (644)",1941
48209,"""Hays, (TX)""",148.3,"26.6 - 148.6 (644)",1898
48215,"""Hidalgo, (TX)""",206.9,"204.2 - 242.8 (644)",1667
48217,"""Hill, (TX)""",253.7,"242.9 - 651.5 (644)",2364
48225,"""Houston, (TX)""",276.8,"242.9 - 651.5 (644)",1684
48229,"""Hudspeth, (TX)""",160.7,"148.7 - 175.5 (644)",2603
48235,"""Irion, (TX)""",221.9,"204.2 - 242.8 (644)",2085
48239,"""Jackson, (TX)""",219.4,"204.2 - 242.8 (644)",2248
48241,"""Jasper, (TX)""",239.2,"204.2 - 242.8 (644)",1739
48243,"""Jeff Davis, (TX)""",139.1,"26.6 - 148.6 (644)",2099
48245,"""Jefferson, (TX)""",224.5,"204.2 - 242.8 (644)",1705
48247,"""Jim Hogg, (TX)""",194.5,"175.6 - 204.1 (644)",1197
48249,"""Jim Wells, (TX)""",362.2,"242.9 - 651.5 (644)",1431
48255,"""Karnes, (TX)""",216.8,"204.2 - 242.8 (644)",2624
48259,"""Kendall, (TX)""",173,"148.7 - 175.5 (644)",1457
48261,"""Kenedy, (TX)""",209.8,"204.2 - 242.8 (644)",-9999
48265,"""Kerr, (TX)""",148.5,"26.6 - 148.6 (644)",1785
48267,"""Kimble, (TX)""",224.8,"204.2 - 242.8 (644)",3032
48271,"""Kinney, (TX)""",157.8,"148.7 - 175.5 (644)",3268
48273,"""Kleberg, (TX)""",299.9,"242.9 - 651.5 (644)",1280
48281,"""Lampasas, (TX)""",159,"148.7 - 175.5 (644)",3101
48283,"""La Salle, (TX)""",216,"204.2 - 242.8 (644)",1531
48285,"""Lavaca, (TX)""",252.7,"242.9 - 651.5 (644)",3308
48287,"""Lee, (TX)""",158.6,"148.7 - 175.5 (644)",2283
48289,"""Leon, (TX)""",141.9,"26.6 - 148.6 (644)",2021
48291,"""Liberty, (TX)""",314.6,"242.9 - 651.5 (644)",2281
